Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),Price_Category,Cluster,Clusters
0.036707452725250285,1,1,1,1,122,2150000000.0,71666.67,Medium,0,0
0.09343715239154618,3,1,1,1,142,5500000000.0,183333.33,High,0,0
0.1345939933259177,3,1,1,1,135,10200000000.0,340000.0,High,0,0
0.01334816462736374,1,1,0,1,156,1760000000.0,58666.67,Low,0,0
0.30033370411568405,3,1,1,0,21,1500000000.0,50000.0,Low,0,0
0.0889877641824249,2,1,1,1,183,3730000000.0,124333.33,Medium,0,0
0.0778642936596218,2,0,0,0,152,620000000.0,20666.67,Low,0,0
0.12235817575083427,1,0,0,0,157,580000000.0,19333.33,Low,0,0
0.04449388209121246,2,1,1,1,108,3050000000.0,101666.67,Medium,0,0
0.03337041156840934,2,1,1,0,183,2000000000.0,66666.67,Medium,0,0
0.05116796440489433,2,1,1,1,106,2600000000.0,86666.67,Medium,0,0
0.13125695216907676,3,1,1,1,35,5990000000.0,199666.67,High,0,0
0.05005561735261401,2,1,1,1,106,2300000000.0,76666.67,Medium,0,0
0.011123470522803117,1,1,1,0,120,1300000000.0,43333.33,Low,0,0
0.038932146829810894,2,1,1,1,164,2270000000.0,75666.67,Medium,0,0
0.12235817575083427,3,1,1,1,134,4000000000.0,133333.33,Medium,0,0
0.0889877641824249,2,1,1,1,184,4000000000.0,133333.33,Medium,0,0
0.04449388209121246,2,1,0,1,4,1650000000.0,55000.0,Low,0,0
0.10901001112347053,3,1,1,1,93,6700000000.0,223333.33,High,0,0
0.07119021134593995,2,1,1,1,115,580000000.0,19333.33,Low,0,0
0.04115684093437152,1,1,1,1,122,2300000000.0,76666.67,Medium,0,0
0.05005561735261401,1,1,1,1,152,650000000.0,21666.67,Low,0,0
0.11123470522803114,2,1,1,1,39,16900000000.0,563333.33,High,0,0
0.011123470522803117,0,0,0,0,152,248000000.0,8266.67,Low,0,0
0.07452725250278086,2,1,1,1,117,510000000.0,17000.0,Low,0,0
0.0889877641824249,2,1,1,1,156,3850000000.0,128333.33,Medium,0,0
0.13348164627363737,3,1,1,1,138,6000000000.0,200000.0,High,0,0
0.05005561735261401,2,0,0,0,27,780000000.0,26000.0,Low,0,0
0.11902113459399333,3,1,1,1,147,7200000000.0,240000.0,High,0,0
0.06117908787541713,2,1,1,1,115,410000000.0,13666.67,Low,0,0
0.042269187986651836,2,0,1,0,113,430000000.0,14333.33,Low,0,0
0.05339265850945495,2,0,1,0,23,800000000.0,26666.67,Low,0,0
0.06117908787541713,2,1,1,1,115,545000000.0,18166.67,Low,0,0
0.0778642936596218,2,1,1,0,115,1280000000.0,42666.67,Low,0,0
0.045606229143492764,2,1,1,1,122,2800000000.0,93333.33,Medium,0,0
0.12235817575083427,3,1,1,1,61,11200000000.0,373333.33,High,0,0
0.11790878754171302,3,1,1,0,115,750000000.0,25000.0,Low,0,0
0.020022246941045603,1,0,0,0,74,850000000.0,28333.33,Low,0,0
0.0778642936596218,2,1,1,1,88,3300000000.0,110000.0,Medium,0,0
0.0578420467185762,2,1,0,1,158,3280000000.0,109333.33,Medium,0,0
0.10011123470522804,3,1,1,1,51,4800000000.0,160000.0,Medium,0,0
0.12124582869855396,3,1,1,1,61,7300000000.0,243333.33,High,0,0
0.0889877641824249,3,1,1,1,81,3950000000.0,131666.67,Medium,0,0
0.05339265850945495,2,0,0,1,115,370000000.0,12333.33,Low,0,0
0.05450500556173526,2,0,0,0,21,750000000.0,25000.0,Low,0,0
0.04004449388209121,2,1,1,1,141,1725000000.0,57500.0,Low,0,0
0.05339265850945495,2,1,1,1,76,780000000.0,26000.0,Low,0,0
0.06117908787541713,2,1,1,1,157,1419000000.0,47300.0,Low,0,0
0.0778642936596218,2,1,1,0,124,1200000000.0,40000.0,Low,0,0
0.055617352614015576,2,1,1,1,110,3600000000.0,120000.0,Medium,0,0
0.015572858731924363,1,1,1,0,141,1050000000.0,35000.0,Low,0,0
0.10011123470522804,2,1,1,0,157,1200000000.0,40000.0,Low,0,0
0.022246941045606226,1,0,1,0,152,340000000.0,11333.33,Low,0,0
0.10122358175750834,3,1,1,0,111,3300000000.0,110000.0,Medium,0,0
0.055617352614015576,2,1,1,1,19,2800000000.0,93333.33,Medium,0,0
0.04449388209121246,2,0,1,1,22,1200000000.0,40000.0,Low,0,0
0.1446051167964405,1,0,0,0,124,3600000.0,120.0,Low,0,0
0.011123470522803117,0,0,0,0,113,165000000.0,5500.0,Low,0,0
0.06451612903225806,2,1,1,1,127,2860000000.0,95333.33,Medium,0,0
0.12347052280311457,3,1,1,1,119,3810000000.0,127000.0,Medium,0,0
0.12235817575083427,3,1,1,1,119,1790000000.0,59666.67,Low,0,0
0.10011123470522804,2,1,1,1,119,1530000000.0,51000.0,Low,0,0
0.04004449388209121,2,0,1,0,24,1000000000.0,33333.33,Low,0,0
0.04449388209121246,2,1,1,1,122,3500000000.0,116666.67,Medium,0,0
0.05005561735261401,2,1,0,1,69,3000000000.0,100000.0,Medium,0,0
0.04449388209121246,2,0,1,1,45,1800000000.0,60000.0,Low,0,0
